[2025-05-16 17:00:02] Alert: 8c4670d2-ade6-4c17-a781-ce292fca3f13 | Jupiter: 43.50 | Calc: 143.12 | Diff: 229.02%
[2025-05-16 20:03:55] Alert: 766a07be-5267-4f37-9b34-1cd772fbfb11 | Jupiter: 43.50 | Calc: -65.62 | Diff: 250.84%
[2025-05-16 20:03:56] Alert: c5b8912f-8694-47be-b17c-cd29cd02185b | Jupiter: 43.50 | Calc: -65.62 | Diff: 250.84%
[2025-05-16 20:03:56] Alert: 469715d3-5edd-4152-8261-e4e985b25cc0 | Jupiter: 43.50 | Calc: -2.89 | Diff: 106.64%
[2025-05-16 20:03:56] Alert: c5b8912f-8694-47be-b17c-cd29cd02185b | Jupiter: 43.50 | Calc: -65.62 | Diff: 250.84%
[2025-05-16 20:03:56] Alert: ac942526-aa4e-46fe-87cf-ee0859575071 | Jupiter: 43.50 | Calc: -2.89 | Diff: 106.64%
[2025-05-16 20:03:56] Alert: ea64b6cb-9863-4f9d-9477-50ae603e95b5 | Jupiter: 43.50 | Calc: -65.62 | Diff: 250.84%
[2025-05-16 20:03:56] Alert: 761a22d3-8f93-4eb0-a91b-1897d8fe1240 | Jupiter: 43.50 | Calc: -2.89 | Diff: 106.64%
[2025-05-16 20:03:56] Alert: 766a07be-5267-4f37-9b34-1cd772fbfb11 | Jupiter: 43.50 | Calc: -65.62 | Diff: 250.84%
[2025-05-16 20:03:57] Alert: 469715d3-5edd-4152-8261-e4e985b25cc0 | Jupiter: 43.50 | Calc: -2.89 | Diff: 106.64%
[2025-05-16 20:03:57] Alert: ac942526-aa4e-46fe-87cf-ee0859575071 | Jupiter: 43.50 | Calc: -2.89 | Diff: 106.64%
[2025-05-16 20:03:57] Alert: ea64b6cb-9863-4f9d-9477-50ae603e95b5 | Jupiter: 43.50 | Calc: -65.62 | Diff: 250.84%
[2025-05-16 20:03:57] Alert: 761a22d3-8f93-4eb0-a91b-1897d8fe1240 | Jupiter: 43.50 | Calc: -2.89 | Diff: 106.64%
[2025-05-16 20:03:57] Alert: 766a07be-5267-4f37-9b34-1cd772fbfb11 | Jupiter: 43.50 | Calc: -65.62 | Diff: 250.84%
[2025-05-16 20:03:57] Alert: c5b8912f-8694-47be-b17c-cd29cd02185b | Jupiter: 43.50 | Calc: -65.62 | Diff: 250.84%
[2025-05-16 20:03:57] Alert: 469715d3-5edd-4152-8261-e4e985b25cc0 | Jupiter: 43.50 | Calc: -2.89 | Diff: 106.64%
[2025-05-16 20:03:57] Alert: ac942526-aa4e-46fe-87cf-ee0859575071 | Jupiter: 43.50 | Calc: -2.89 | Diff: 106.64%
[2025-05-16 20:03:57] Alert: ea64b6cb-9863-4f9d-9477-50ae603e95b5 | Jupiter: 43.50 | Calc: -65.62 | Diff: 250.84%
[2025-05-16 20:03:57] Alert: 761a22d3-8f93-4eb0-a91b-1897d8fe1240 | Jupiter: 43.50 | Calc: -2.89 | Diff: 106.64%
[2025-05-16 20:03:57] Alert: 766a07be-5267-4f37-9b34-1cd772fbfb11 | Jupiter: 43.50 | Calc: -65.62 | Diff: 250.84%
[2025-05-16 20:03:57] Alert: 5929ef11-f786-4e5d-acb3-7aa531193319 | Jupiter: 43.50 | Calc: -2.89 | Diff: 106.64%
[2025-05-16 20:03:57] Alert: 74e6c620-53ff-4e9d-a0be-53930e1e26c9 | Jupiter: 43.50 | Calc: -65.62 | Diff: 250.84%
[2025-05-16 20:03:57] Alert: c5b8912f-8694-47be-b17c-cd29cd02185b | Jupiter: 43.50 | Calc: -65.62 | Diff: 250.84%
[2025-05-16 20:03:57] Alert: 469715d3-5edd-4152-8261-e4e985b25cc0 | Jupiter: 43.50 | Calc: -2.89 | Diff: 106.64%
[2025-05-16 20:03:57] Alert: ac942526-aa4e-46fe-87cf-ee0859575071 | Jupiter: 43.50 | Calc: -2.89 | Diff: 106.64%
[2025-05-16 20:03:57] Alert: ea64b6cb-9863-4f9d-9477-50ae603e95b5 | Jupiter: 43.50 | Calc: -65.62 | Diff: 250.84%
[2025-05-16 20:03:57] Alert: 761a22d3-8f93-4eb0-a91b-1897d8fe1240 | Jupiter: 43.50 | Calc: -2.89 | Diff: 106.64%
[2025-05-16 20:03:57] Alert: 766a07be-5267-4f37-9b34-1cd772fbfb11 | Jupiter: 43.50 | Calc: -65.62 | Diff: 250.84%
[2025-05-16 21:14:41] Alert: 75741565-4229-40f9-8c1c-b7114f35624f | Jupiter: 43.50 | Calc: -35.56 | Diff: 181.74%
[2025-05-16 21:14:41] Alert: 25c6646e-19b0-4145-a879-c6eef9fd08cb | Jupiter: 43.50 | Calc: -43.61 | Diff: 200.25%
[2025-05-16 21:14:42] Alert: 75741565-4229-40f9-8c1c-b7114f35624f | Jupiter: 43.50 | Calc: -35.56 | Diff: 181.74%
[2025-05-16 21:14:42] Alert: 25c6646e-19b0-4145-a879-c6eef9fd08cb | Jupiter: 43.50 | Calc: -43.61 | Diff: 200.25%
[2025-05-16 21:14:42] Alert: 75741565-4229-40f9-8c1c-b7114f35624f | Jupiter: 43.50 | Calc: -35.56 | Diff: 181.74%
[2025-05-16 21:14:42] Alert: 25c6646e-19b0-4145-a879-c6eef9fd08cb | Jupiter: 43.50 | Calc: -43.61 | Diff: 200.25%
[2025-05-16 21:14:42] Alert: 12f4f65f-62d8-46ce-8774-2bcaa5c98a39 | Jupiter: 43.50 | Calc: -35.56 | Diff: 181.74%
[2025-05-16 21:14:42] Alert: 5c8d46a6-bd70-4ac4-adc6-4b16aebf8b80 | Jupiter: 43.50 | Calc: -43.61 | Diff: 200.25%
[2025-05-16 21:14:43] Alert: 75741565-4229-40f9-8c1c-b7114f35624f | Jupiter: 43.50 | Calc: -35.56 | Diff: 181.74%
[2025-05-16 21:14:43] Alert: 25c6646e-19b0-4145-a879-c6eef9fd08cb | Jupiter: 43.50 | Calc: -43.61 | Diff: 200.25%
[2025-05-16 21:15:48] Alert: 12f4f65f-62d8-46ce-8774-2bcaa5c98a39 | Jupiter: 43.50 | Calc: -35.78 | Diff: 182.25%
[2025-05-16 21:15:48] Alert: 5c8d46a6-bd70-4ac4-adc6-4b16aebf8b80 | Jupiter: 43.50 | Calc: -43.46 | Diff: 199.90%
[2025-05-16 21:15:48] Alert: 75741565-4229-40f9-8c1c-b7114f35624f | Jupiter: 43.50 | Calc: -35.78 | Diff: 182.25%
[2025-05-16 21:15:48] Alert: 25c6646e-19b0-4145-a879-c6eef9fd08cb | Jupiter: 43.50 | Calc: -43.46 | Diff: 199.90%
[2025-05-16 21:15:48] Alert: 12f4f65f-62d8-46ce-8774-2bcaa5c98a39 | Jupiter: 43.50 | Calc: -35.78 | Diff: 182.25%
[2025-05-16 21:15:48] Alert: 5c8d46a6-bd70-4ac4-adc6-4b16aebf8b80 | Jupiter: 43.50 | Calc: -43.46 | Diff: 199.90%
[2025-05-16 21:15:48] Alert: 75741565-4229-40f9-8c1c-b7114f35624f | Jupiter: 43.50 | Calc: -35.78 | Diff: 182.25%
[2025-05-16 21:15:48] Alert: 25c6646e-19b0-4145-a879-c6eef9fd08cb | Jupiter: 43.50 | Calc: -43.46 | Diff: 199.90%
[2025-05-16 21:15:49] Alert: 62e77d6a-e4bc-4031-8c82-a05daee6caa9 | Jupiter: 43.50 | Calc: -35.78 | Diff: 182.25%
[2025-05-16 21:15:49] Alert: 1a943930-3687-47ed-9af8-2b207b4f3435 | Jupiter: 43.50 | Calc: -43.46 | Diff: 199.90%
[2025-05-16 21:15:49] Alert: 12f4f65f-62d8-46ce-8774-2bcaa5c98a39 | Jupiter: 43.50 | Calc: -35.78 | Diff: 182.25%
[2025-05-16 21:15:49] Alert: 5c8d46a6-bd70-4ac4-adc6-4b16aebf8b80 | Jupiter: 43.50 | Calc: -43.46 | Diff: 199.90%
[2025-05-16 21:15:49] Alert: 75741565-4229-40f9-8c1c-b7114f35624f | Jupiter: 43.50 | Calc: -35.78 | Diff: 182.25%
[2025-05-16 21:15:49] Alert: 25c6646e-19b0-4145-a879-c6eef9fd08cb | Jupiter: 43.50 | Calc: -43.46 | Diff: 199.90%
[2025-05-16 21:15:51] Alert: 62e77d6a-e4bc-4031-8c82-a05daee6caa9 | Jupiter: 43.50 | Calc: -35.78 | Diff: 182.25%
[2025-05-16 21:15:51] Alert: 1a943930-3687-47ed-9af8-2b207b4f3435 | Jupiter: 43.50 | Calc: -43.46 | Diff: 199.90%
[2025-05-16 21:15:51] Alert: 12f4f65f-62d8-46ce-8774-2bcaa5c98a39 | Jupiter: 43.50 | Calc: -35.78 | Diff: 182.25%
[2025-05-16 21:15:51] Alert: 5c8d46a6-bd70-4ac4-adc6-4b16aebf8b80 | Jupiter: 43.50 | Calc: -43.46 | Diff: 199.90%
[2025-05-16 21:15:51] Alert: 75741565-4229-40f9-8c1c-b7114f35624f | Jupiter: 43.50 | Calc: -35.78 | Diff: 182.25%
[2025-05-16 21:15:51] Alert: 25c6646e-19b0-4145-a879-c6eef9fd08cb | Jupiter: 43.50 | Calc: -43.46 | Diff: 199.90%
[2025-05-16 21:15:51] Alert: 62e77d6a-e4bc-4031-8c82-a05daee6caa9 | Jupiter: 43.50 | Calc: -35.78 | Diff: 182.25%
[2025-05-16 21:15:51] Alert: 1a943930-3687-47ed-9af8-2b207b4f3435 | Jupiter: 43.50 | Calc: -43.46 | Diff: 199.90%
[2025-05-16 21:15:51] Alert: 12f4f65f-62d8-46ce-8774-2bcaa5c98a39 | Jupiter: 43.50 | Calc: -35.78 | Diff: 182.25%
[2025-05-16 21:15:51] Alert: 5c8d46a6-bd70-4ac4-adc6-4b16aebf8b80 | Jupiter: 43.50 | Calc: -43.46 | Diff: 199.90%
[2025-05-16 21:15:51] Alert: 75741565-4229-40f9-8c1c-b7114f35624f | Jupiter: 43.50 | Calc: -35.78 | Diff: 182.25%
[2025-05-16 21:15:51] Alert: 25c6646e-19b0-4145-a879-c6eef9fd08cb | Jupiter: 43.50 | Calc: -43.46 | Diff: 199.90%
[2025-05-16 21:15:52] Alert: bcac2256-b826-49d5-9417-e877432bf674 | Jupiter: 43.50 | Calc: -35.78 | Diff: 182.25%
[2025-05-16 21:15:52] Alert: a8ba27fd-e55d-4685-a0ce-333ca1a896b5 | Jupiter: 43.50 | Calc: -43.46 | Diff: 199.90%
[2025-05-16 21:15:52] Alert: 62e77d6a-e4bc-4031-8c82-a05daee6caa9 | Jupiter: 43.50 | Calc: -35.78 | Diff: 182.25%
[2025-05-16 21:15:52] Alert: 1a943930-3687-47ed-9af8-2b207b4f3435 | Jupiter: 43.50 | Calc: -43.46 | Diff: 199.90%
[2025-05-16 21:15:52] Alert: 12f4f65f-62d8-46ce-8774-2bcaa5c98a39 | Jupiter: 43.50 | Calc: -35.78 | Diff: 182.25%
[2025-05-16 21:15:52] Alert: 5c8d46a6-bd70-4ac4-adc6-4b16aebf8b80 | Jupiter: 43.50 | Calc: -43.46 | Diff: 199.90%
[2025-05-16 21:15:52] Alert: 75741565-4229-40f9-8c1c-b7114f35624f | Jupiter: 43.50 | Calc: -35.78 | Diff: 182.25%
[2025-05-16 21:15:52] Alert: 25c6646e-19b0-4145-a879-c6eef9fd08cb | Jupiter: 43.50 | Calc: -43.46 | Diff: 199.90%
[2025-05-16 21:19:58] Alert: bcac2256-b826-49d5-9417-e877432bf674 | Jupiter: 43.50 | Calc: -42.22 | Diff: 197.06%
[2025-05-16 21:19:58] Alert: a8ba27fd-e55d-4685-a0ce-333ca1a896b5 | Jupiter: 43.50 | Calc: -39.10 | Diff: 189.88%
[2025-05-16 21:19:58] Alert: 62e77d6a-e4bc-4031-8c82-a05daee6caa9 | Jupiter: 43.50 | Calc: -42.22 | Diff: 197.06%
[2025-05-16 21:19:58] Alert: 1a943930-3687-47ed-9af8-2b207b4f3435 | Jupiter: 43.50 | Calc: -39.10 | Diff: 189.88%
[2025-05-16 21:19:58] Alert: 12f4f65f-62d8-46ce-8774-2bcaa5c98a39 | Jupiter: 43.50 | Calc: -42.22 | Diff: 197.06%
[2025-05-16 21:19:58] Alert: 5c8d46a6-bd70-4ac4-adc6-4b16aebf8b80 | Jupiter: 43.50 | Calc: -39.10 | Diff: 189.88%
[2025-05-16 21:19:58] Alert: 75741565-4229-40f9-8c1c-b7114f35624f | Jupiter: 43.50 | Calc: -42.22 | Diff: 197.06%
[2025-05-16 21:19:58] Alert: 25c6646e-19b0-4145-a879-c6eef9fd08cb | Jupiter: 43.50 | Calc: -39.10 | Diff: 189.88%
[2025-05-16 21:19:58] Alert: bcac2256-b826-49d5-9417-e877432bf674 | Jupiter: 43.50 | Calc: -42.22 | Diff: 197.06%
[2025-05-16 21:19:58] Alert: a8ba27fd-e55d-4685-a0ce-333ca1a896b5 | Jupiter: 43.50 | Calc: -39.10 | Diff: 189.88%
[2025-05-16 21:19:59] Alert: 62e77d6a-e4bc-4031-8c82-a05daee6caa9 | Jupiter: 43.50 | Calc: -42.22 | Diff: 197.06%
[2025-05-16 21:19:59] Alert: 1a943930-3687-47ed-9af8-2b207b4f3435 | Jupiter: 43.50 | Calc: -39.10 | Diff: 189.88%
[2025-05-16 21:19:59] Alert: 12f4f65f-62d8-46ce-8774-2bcaa5c98a39 | Jupiter: 43.50 | Calc: -42.22 | Diff: 197.06%
[2025-05-16 21:19:59] Alert: 5c8d46a6-bd70-4ac4-adc6-4b16aebf8b80 | Jupiter: 43.50 | Calc: -39.10 | Diff: 189.88%
[2025-05-16 21:19:59] Alert: 75741565-4229-40f9-8c1c-b7114f35624f | Jupiter: 43.50 | Calc: -42.22 | Diff: 197.06%
[2025-05-16 21:19:59] Alert: 25c6646e-19b0-4145-a879-c6eef9fd08cb | Jupiter: 43.50 | Calc: -39.10 | Diff: 189.88%
[2025-05-16 21:19:59] Alert: 1525ab3d-14e9-4175-83d0-7ba66cad3949 | Jupiter: 43.50 | Calc: -42.22 | Diff: 197.06%
[2025-05-16 21:19:59] Alert: 0b796505-1313-40f3-bedf-7093506f3652 | Jupiter: 43.50 | Calc: -39.10 | Diff: 189.88%
[2025-05-16 21:19:59] Alert: bcac2256-b826-49d5-9417-e877432bf674 | Jupiter: 43.50 | Calc: -42.22 | Diff: 197.06%
[2025-05-16 21:19:59] Alert: a8ba27fd-e55d-4685-a0ce-333ca1a896b5 | Jupiter: 43.50 | Calc: -39.10 | Diff: 189.88%
[2025-05-16 21:19:59] Alert: 62e77d6a-e4bc-4031-8c82-a05daee6caa9 | Jupiter: 43.50 | Calc: -42.22 | Diff: 197.06%
[2025-05-16 21:19:59] Alert: 1a943930-3687-47ed-9af8-2b207b4f3435 | Jupiter: 43.50 | Calc: -39.10 | Diff: 189.88%
[2025-05-16 21:19:59] Alert: 12f4f65f-62d8-46ce-8774-2bcaa5c98a39 | Jupiter: 43.50 | Calc: -42.22 | Diff: 197.06%
[2025-05-16 21:19:59] Alert: 5c8d46a6-bd70-4ac4-adc6-4b16aebf8b80 | Jupiter: 43.50 | Calc: -39.10 | Diff: 189.88%
[2025-05-16 21:19:59] Alert: 75741565-4229-40f9-8c1c-b7114f35624f | Jupiter: 43.50 | Calc: -42.22 | Diff: 197.06%
[2025-05-16 21:19:59] Alert: 25c6646e-19b0-4145-a879-c6eef9fd08cb | Jupiter: 43.50 | Calc: -39.10 | Diff: 189.88%
[2025-05-16 21:20:01] Alert: 1525ab3d-14e9-4175-83d0-7ba66cad3949 | Jupiter: 43.50 | Calc: -42.22 | Diff: 197.06%
[2025-05-16 21:20:01] Alert: 0b796505-1313-40f3-bedf-7093506f3652 | Jupiter: 43.50 | Calc: -39.10 | Diff: 189.88%
[2025-05-16 21:20:01] Alert: bcac2256-b826-49d5-9417-e877432bf674 | Jupiter: 43.50 | Calc: -42.22 | Diff: 197.06%
[2025-05-16 21:20:01] Alert: a8ba27fd-e55d-4685-a0ce-333ca1a896b5 | Jupiter: 43.50 | Calc: -39.10 | Diff: 189.88%
[2025-05-16 21:20:01] Alert: 62e77d6a-e4bc-4031-8c82-a05daee6caa9 | Jupiter: 43.50 | Calc: -42.22 | Diff: 197.06%
[2025-05-16 21:20:01] Alert: 1a943930-3687-47ed-9af8-2b207b4f3435 | Jupiter: 43.50 | Calc: -39.10 | Diff: 189.88%
[2025-05-16 21:20:01] Alert: 12f4f65f-62d8-46ce-8774-2bcaa5c98a39 | Jupiter: 43.50 | Calc: -42.22 | Diff: 197.06%
[2025-05-16 21:20:01] Alert: 5c8d46a6-bd70-4ac4-adc6-4b16aebf8b80 | Jupiter: 43.50 | Calc: -39.10 | Diff: 189.88%
[2025-05-16 21:20:01] Alert: 75741565-4229-40f9-8c1c-b7114f35624f | Jupiter: 43.50 | Calc: -42.22 | Diff: 197.06%
[2025-05-16 21:20:01] Alert: 25c6646e-19b0-4145-a879-c6eef9fd08cb | Jupiter: 43.50 | Calc: -39.10 | Diff: 189.88%
[2025-05-16 21:20:01] Alert: 1525ab3d-14e9-4175-83d0-7ba66cad3949 | Jupiter: 43.50 | Calc: -42.22 | Diff: 197.06%
[2025-05-16 21:20:01] Alert: 0b796505-1313-40f3-bedf-7093506f3652 | Jupiter: 43.50 | Calc: -39.10 | Diff: 189.88%
[2025-05-16 21:20:01] Alert: bcac2256-b826-49d5-9417-e877432bf674 | Jupiter: 43.50 | Calc: -42.22 | Diff: 197.06%
[2025-05-16 21:20:01] Alert: a8ba27fd-e55d-4685-a0ce-333ca1a896b5 | Jupiter: 43.50 | Calc: -39.10 | Diff: 189.88%
[2025-05-16 21:20:01] Alert: 62e77d6a-e4bc-4031-8c82-a05daee6caa9 | Jupiter: 43.50 | Calc: -42.22 | Diff: 197.06%
[2025-05-16 21:20:01] Alert: 1a943930-3687-47ed-9af8-2b207b4f3435 | Jupiter: 43.50 | Calc: -39.10 | Diff: 189.88%
[2025-05-16 21:20:01] Alert: 12f4f65f-62d8-46ce-8774-2bcaa5c98a39 | Jupiter: 43.50 | Calc: -42.22 | Diff: 197.06%
[2025-05-16 21:20:01] Alert: 5c8d46a6-bd70-4ac4-adc6-4b16aebf8b80 | Jupiter: 43.50 | Calc: -39.10 | Diff: 189.88%
