[2025-05-17 03:42:47] Alert: 3f69047a-501a-4856-9975-62a99ef94418 | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:47] Alert: a8ba27fd-e55d-4685-a0ce-333ca1a896b5 | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
[2025-05-17 03:42:47] Alert: 12f4f65f-62d8-46ce-8774-2bcaa5c98a39 | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:47] Alert: 62e77d6a-e4bc-4031-8c82-a05daee6caa9 | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:47] Alert: 5c8d46a6-bd70-4ac4-adc6-4b16aebf8b80 | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
[2025-05-17 03:42:47] Alert: 1a943930-3687-47ed-9af8-2b207b4f3435 | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
[2025-05-17 03:42:47] Alert: 75741565-4229-40f9-8c1c-b7114f35624f | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:47] Alert: 12f4f65f-62d8-46ce-8774-2bcaa5c98a39 | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:47] Alert: 25c6646e-19b0-4145-a879-c6eef9fd08cb | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
[2025-05-17 03:42:47] Alert: 5c8d46a6-bd70-4ac4-adc6-4b16aebf8b80 | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
[2025-05-17 03:42:47] Alert: 75741565-4229-40f9-8c1c-b7114f35624f | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:48] Alert: 25c6646e-19b0-4145-a879-c6eef9fd08cb | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
[2025-05-17 03:42:49] Alert: 989e21fa-c9b2-4c39-a6b5-cb1d933d5059 | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:49] Alert: 989e21fa-c9b2-4c39-a6b5-cb1d933d5059 | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:49] Alert: 9a739374-c38a-42af-8f71-276a96dca38d | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
[2025-05-17 03:42:49] Alert: fc5e6b3f-9c03-4514-adf6-f253bc413047 | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:49] Alert: 3f69047a-501a-4856-9975-62a99ef94418 | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:49] Alert: 9a739374-c38a-42af-8f71-276a96dca38d | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
[2025-05-17 03:42:49] Alert: 16c6ef81-05b7-4d93-b85d-4a7f93fa5203 | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
[2025-05-17 03:42:49] Alert: fc5e6b3f-9c03-4514-adf6-f253bc413047 | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:49] Alert: 1525ab3d-14e9-4175-83d0-7ba66cad3949 | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:49] Alert: 86ee3925-1795-40dd-b921-6ca683a702e6 | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
[2025-05-17 03:42:49] Alert: 0b796505-1313-40f3-bedf-7093506f3652 | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
[2025-05-17 03:42:49] Alert: 3f69047a-501a-4856-9975-62a99ef94418 | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:49] Alert: 16c6ef81-05b7-4d93-b85d-4a7f93fa5203 | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
[2025-05-17 03:42:49] Alert: bcac2256-b826-49d5-9417-e877432bf674 | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:50] Alert: 1525ab3d-14e9-4175-83d0-7ba66cad3949 | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:50] Alert: a8ba27fd-e55d-4685-a0ce-333ca1a896b5 | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
[2025-05-17 03:42:50] Alert: 0b796505-1313-40f3-bedf-7093506f3652 | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
[2025-05-17 03:42:50] Alert: 62e77d6a-e4bc-4031-8c82-a05daee6caa9 | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:50] Alert: bcac2256-b826-49d5-9417-e877432bf674 | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:50] Alert: 1a943930-3687-47ed-9af8-2b207b4f3435 | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
[2025-05-17 03:42:50] Alert: a8ba27fd-e55d-4685-a0ce-333ca1a896b5 | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
[2025-05-17 03:42:50] Alert: 12f4f65f-62d8-46ce-8774-2bcaa5c98a39 | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:50] Alert: 62e77d6a-e4bc-4031-8c82-a05daee6caa9 | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:50] Alert: 5c8d46a6-bd70-4ac4-adc6-4b16aebf8b80 | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
[2025-05-17 03:42:50] Alert: 1a943930-3687-47ed-9af8-2b207b4f3435 | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
[2025-05-17 03:42:50] Alert: 75741565-4229-40f9-8c1c-b7114f35624f | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:50] Alert: 12f4f65f-62d8-46ce-8774-2bcaa5c98a39 | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:50] Alert: 25c6646e-19b0-4145-a879-c6eef9fd08cb | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
[2025-05-17 03:42:50] Alert: 5c8d46a6-bd70-4ac4-adc6-4b16aebf8b80 | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
[2025-05-17 03:42:50] Alert: 75741565-4229-40f9-8c1c-b7114f35624f | Jupiter: 43.50 | Calc: -34.44 | Diff: 179.18%
[2025-05-17 03:42:50] Alert: 25c6646e-19b0-4145-a879-c6eef9fd08cb | Jupiter: 43.50 | Calc: -44.36 | Diff: 201.98%
[2025-05-17 05:50:37] Alert: 989e21fa-c9b2-4c39-a6b5-cb1d933d5059 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:37] Alert: 9a739374-c38a-42af-8f71-276a96dca38d | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:37] Alert: fc5e6b3f-9c03-4514-adf6-f253bc413047 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:37] Alert: 86ee3925-1795-40dd-b921-6ca683a702e6 | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:37] Alert: 3f69047a-501a-4856-9975-62a99ef94418 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:37] Alert: 16c6ef81-05b7-4d93-b85d-4a7f93fa5203 | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:37] Alert: 1525ab3d-14e9-4175-83d0-7ba66cad3949 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:37] Alert: 0b796505-1313-40f3-bedf-7093506f3652 | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:37] Alert: bcac2256-b826-49d5-9417-e877432bf674 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:38] Alert: a8ba27fd-e55d-4685-a0ce-333ca1a896b5 | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:38] Alert: 62e77d6a-e4bc-4031-8c82-a05daee6caa9 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:38] Alert: 1a943930-3687-47ed-9af8-2b207b4f3435 | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:38] Alert: 12f4f65f-62d8-46ce-8774-2bcaa5c98a39 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:38] Alert: 5c8d46a6-bd70-4ac4-adc6-4b16aebf8b80 | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:38] Alert: 75741565-4229-40f9-8c1c-b7114f35624f | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:38] Alert: 25c6646e-19b0-4145-a879-c6eef9fd08cb | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:38] Alert: 989e21fa-c9b2-4c39-a6b5-cb1d933d5059 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:38] Alert: 9a739374-c38a-42af-8f71-276a96dca38d | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:38] Alert: fc5e6b3f-9c03-4514-adf6-f253bc413047 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:38] Alert: 86ee3925-1795-40dd-b921-6ca683a702e6 | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:38] Alert: 3f69047a-501a-4856-9975-62a99ef94418 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:38] Alert: 16c6ef81-05b7-4d93-b85d-4a7f93fa5203 | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:38] Alert: 1525ab3d-14e9-4175-83d0-7ba66cad3949 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:38] Alert: 0b796505-1313-40f3-bedf-7093506f3652 | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:38] Alert: bcac2256-b826-49d5-9417-e877432bf674 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:38] Alert: a8ba27fd-e55d-4685-a0ce-333ca1a896b5 | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:38] Alert: 62e77d6a-e4bc-4031-8c82-a05daee6caa9 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:38] Alert: 1a943930-3687-47ed-9af8-2b207b4f3435 | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:38] Alert: 12f4f65f-62d8-46ce-8774-2bcaa5c98a39 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:38] Alert: 5c8d46a6-bd70-4ac4-adc6-4b16aebf8b80 | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:38] Alert: 989e21fa-c9b2-4c39-a6b5-cb1d933d5059 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:38] Alert: 25c6646e-19b0-4145-a879-c6eef9fd08cb | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:38] Alert: 9a739374-c38a-42af-8f71-276a96dca38d | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:38] Alert: fc5e6b3f-9c03-4514-adf6-f253bc413047 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:38] Alert: 86ee3925-1795-40dd-b921-6ca683a702e6 | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:38] Alert: 3f69047a-501a-4856-9975-62a99ef94418 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:38] Alert: 16c6ef81-05b7-4d93-b85d-4a7f93fa5203 | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:38] Alert: 1525ab3d-14e9-4175-83d0-7ba66cad3949 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:38] Alert: 0b796505-1313-40f3-bedf-7093506f3652 | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:38] Alert: bcac2256-b826-49d5-9417-e877432bf674 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:38] Alert: a8ba27fd-e55d-4685-a0ce-333ca1a896b5 | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:38] Alert: 62e77d6a-e4bc-4031-8c82-a05daee6caa9 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:38] Alert: 1a943930-3687-47ed-9af8-2b207b4f3435 | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:38] Alert: 12f4f65f-62d8-46ce-8774-2bcaa5c98a39 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:38] Alert: 5c8d46a6-bd70-4ac4-adc6-4b16aebf8b80 | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:38] Alert: 75741565-4229-40f9-8c1c-b7114f35624f | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:38] Alert: 25c6646e-19b0-4145-a879-c6eef9fd08cb | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:38] Alert: 989e21fa-c9b2-4c39-a6b5-cb1d933d5059 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:38] Alert: 9a739374-c38a-42af-8f71-276a96dca38d | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:38] Alert: fc5e6b3f-9c03-4514-adf6-f253bc413047 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:38] Alert: 86ee3925-1795-40dd-b921-6ca683a702e6 | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:38] Alert: 3f69047a-501a-4856-9975-62a99ef94418 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:38] Alert: 16c6ef81-05b7-4d93-b85d-4a7f93fa5203 | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:38] Alert: 1525ab3d-14e9-4175-83d0-7ba66cad3949 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:38] Alert: 0b796505-1313-40f3-bedf-7093506f3652 | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:38] Alert: bcac2256-b826-49d5-9417-e877432bf674 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:38] Alert: a8ba27fd-e55d-4685-a0ce-333ca1a896b5 | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:38] Alert: 62e77d6a-e4bc-4031-8c82-a05daee6caa9 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:38] Alert: 1a943930-3687-47ed-9af8-2b207b4f3435 | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:39] Alert: 12f4f65f-62d8-46ce-8774-2bcaa5c98a39 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:39] Alert: 5c8d46a6-bd70-4ac4-adc6-4b16aebf8b80 | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:39] Alert: 75741565-4229-40f9-8c1c-b7114f35624f | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:39] Alert: 25c6646e-19b0-4145-a879-c6eef9fd08cb | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:39] Alert: 58213911-1898-4fd4-a0b9-10a196d3e510 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:39] Alert: 99536f39-f09c-4d90-a321-d5ca7d55442b | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:39] Alert: 989e21fa-c9b2-4c39-a6b5-cb1d933d5059 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:39] Alert: 9a739374-c38a-42af-8f71-276a96dca38d | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:39] Alert: fc5e6b3f-9c03-4514-adf6-f253bc413047 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:39] Alert: 86ee3925-1795-40dd-b921-6ca683a702e6 | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:39] Alert: 3f69047a-501a-4856-9975-62a99ef94418 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:39] Alert: 16c6ef81-05b7-4d93-b85d-4a7f93fa5203 | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:39] Alert: 1525ab3d-14e9-4175-83d0-7ba66cad3949 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:39] Alert: 0b796505-1313-40f3-bedf-7093506f3652 | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:39] Alert: bcac2256-b826-49d5-9417-e877432bf674 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:39] Alert: a8ba27fd-e55d-4685-a0ce-333ca1a896b5 | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:39] Alert: 62e77d6a-e4bc-4031-8c82-a05daee6caa9 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:39] Alert: 1a943930-3687-47ed-9af8-2b207b4f3435 | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:39] Alert: 12f4f65f-62d8-46ce-8774-2bcaa5c98a39 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:40] Alert: 5c8d46a6-bd70-4ac4-adc6-4b16aebf8b80 | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:40] Alert: 75741565-4229-40f9-8c1c-b7114f35624f | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:40] Alert: 25c6646e-19b0-4145-a879-c6eef9fd08cb | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:40] Alert: 58213911-1898-4fd4-a0b9-10a196d3e510 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:40] Alert: 99536f39-f09c-4d90-a321-d5ca7d55442b | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:41] Alert: 70254209-e583-491b-9621-6e2dc54b884c | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:41] Alert: a8700a85-4753-4503-b543-60b6cf1765d4 | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:41] Alert: 989e21fa-c9b2-4c39-a6b5-cb1d933d5059 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:41] Alert: 9a739374-c38a-42af-8f71-276a96dca38d | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:41] Alert: fc5e6b3f-9c03-4514-adf6-f253bc413047 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:41] Alert: 86ee3925-1795-40dd-b921-6ca683a702e6 | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:41] Alert: 3f69047a-501a-4856-9975-62a99ef94418 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:41] Alert: 16c6ef81-05b7-4d93-b85d-4a7f93fa5203 | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:41] Alert: 1525ab3d-14e9-4175-83d0-7ba66cad3949 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:41] Alert: 0b796505-1313-40f3-bedf-7093506f3652 | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:41] Alert: bcac2256-b826-49d5-9417-e877432bf674 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:41] Alert: a8ba27fd-e55d-4685-a0ce-333ca1a896b5 | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:41] Alert: 62e77d6a-e4bc-4031-8c82-a05daee6caa9 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:41] Alert: 1a943930-3687-47ed-9af8-2b207b4f3435 | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
[2025-05-17 05:50:41] Alert: 12f4f65f-62d8-46ce-8774-2bcaa5c98a39 | Jupiter: 43.50 | Calc: -33.11 | Diff: 176.12%
[2025-05-17 05:50:41] Alert: 5c8d46a6-bd70-4ac4-adc6-4b16aebf8b80 | Jupiter: 43.50 | Calc: -45.26 | Diff: 204.05%
